id,year,category,round,participant,rank,created_at,updated_at
1,2021,6,,1940,1,2025-07-13 02:16:21.847298+00,2025-07-13 02:16:21.847298+00
2,2021,6,,1942,2,2025-07-13 02:16:21.847298+00,2025-07-13 02:16:21.847298+00
3,2021,6,,1939,3,2025-07-13 02:16:21.847298+00,2025-07-13 02:16:21.847298+00
4,2021,6,,1941,4,2025-07-13 02:16:21.847298+00,2025-07-13 02:16:21.847298+00
5,2021,3,,1890,1,2025-07-13 02:16:21.847298+00,2025-07-13 02:16:21.847298+00
6,2021,3,,1735,2,2025-07-13 02:16:21.847298+00,2025-07-13 02:16:21.847298+00
7,2021,3,,1892,3,2025-07-13 02:16:21.847298+00,2025-07-13 02:16:21.847298+00
8,2023,2,Day 1,1944,1,2025-07-13 02:16:21.847298+00,2025-07-13 02:16:21.847298+00
9,2023,2,Day 1,1785,2,2025-07-13 02:16:21.847298+00,2025-07-13 02:16:21.847298+00
10,2023,2,Day 1,1778,3,2025-07-13 02:16:21.847298+00,2025-07-13 02:16:21.847298+00
11,2023,2,Day 1,1945,4,2025-07-13 02:16:21.847298+00,2025-07-13 02:16:21.847298+00
12,2023,2,Day 1,1774,5,2025-07-13 02:16:21.847298+00,2025-07-13 02:16:21.847298+00
13,2023,2,Day 1,1948,6,2025-07-13 02:16:21.847298+00,2025-07-13 02:16:21.847298+00
14,2023,2,Day 2,1944,1,2025-07-13 02:16:21.847298+00,2025-07-13 02:16:21.847298+00
15,2023,2,Day 2,1945,2,2025-07-13 02:16:21.847298+00,2025-07-13 02:16:21.847298+00
16,2023,2,Day 2,1785,3,2025-07-13 02:16:21.847298+00,2025-07-13 02:16:21.847298+00
17,2023,2,Day 2,1778,4,2025-07-13 02:16:21.847298+00,2025-07-13 02:16:21.847298+00
18,2023,2,Day 2,1774,5,2025-07-13 02:16:21.847298+00,2025-07-13 02:16:21.847298+00
19,2023,2,Day 2,1948,6,2025-07-13 02:16:21.847298+00,2025-07-13 02:16:21.847298+00
20,2023,2,Overall,1944,1,2025-07-13 02:16:21.847298+00,2025-07-13 02:16:21.847298+00
21,2023,2,Overall,1785,2,2025-07-13 02:16:21.847298+00,2025-07-13 02:16:21.847298+00
22,2023,2,Overall,1945,3,2025-07-13 02:16:21.847298+00,2025-07-13 02:16:21.847298+00
23,2023,2,Overall,1778,4,2025-07-13 02:16:21.847298+00,2025-07-13 02:16:21.847298+00
24,2023,2,Overall,1774,5,2025-07-13 02:16:21.847298+00,2025-07-13 02:16:21.847298+00
25,2023,2,Overall,1948,6,2025-07-13 02:16:21.847298+00,2025-07-13 02:16:21.847298+00
31,2025,6,,2093,1,2025-11-02 10:49:56.374463+00,2025-11-02 10:49:56.374463+00
32,2025,6,,2094,2,2025-11-02 10:50:55.014203+00,2025-11-02 10:50:55.014203+00
33,2025,6,,2096,3,2025-11-02 10:51:13.612815+00,2025-11-02 10:51:13.612815+00
