id,name,display_order,created_at,updated_at
1,Loopstation,0,2025-07-12 05:46:24.008654+00,2025-07-12 05:46:24.008654+00
2,Producer,1,2025-07-12 05:46:41.92093+00,2025-07-12 05:46:41.92093+00
3,Tag Team Loopstation,2,2025-07-12 05:46:54.917949+00,2025-07-12 05:46:54.917949+00
4,Solo,3,2025-07-12 05:47:11.589347+00,2025-07-12 05:47:11.589347+00
5,Tag Team,4,2025-07-12 05:47:24.567556+00,2025-07-12 05:47:24.567556+00
6,Crew,5,2025-07-12 05:47:38.204593+00,2025-07-12 05:47:38.204593+00
7,U18,6,2025-07-12 05:47:49.328178+00,2025-07-12 05:47:49.328178+00
